timestamp,datetime,dynamics.fl_pushrod_stress,dynamics.fl_spring_displace,dynamics.fl_strain_gauge_v,dynamics.flw_speed,pack.cell_bottom_temp,pack.cell_top_temp,pack.hv_c,pack.hv_pack_v,pack.hv_soc
1750308449.215482,2025-06-18 23:47:29.215,0.0,0.0,0.0,30.51,36.0,24.0,655.35,434.0,79.71000000000001
1750308449.2278779,2025-06-18 23:47:29.227,0.0,0.0,0.0,30.78,,,,,
1750308449.241089,2025-06-18 23:47:29.241,0.0,0.0,0.0,29.98,,,,,
1750308449.254978,2025-06-18 23:47:29.254,0.0,0.0,0.0,32.67,,,,,
1750308449.268851,2025-06-18 23:47:29.268,0.0,0.0,0.0,33.13,,,,,
1750308449.282788,2025-06-18 23:47:29.282,0.0,0.0,0.0,30.92,,,,,
1750308449.295042,2025-06-18 23:47:29.295,0.0,0.0,0.0,32.62,,,,,
1750308449.30782,2025-06-18 23:47:29.307,0.0,0.0,0.0,31.34,,,,,
1750308449.3219771,2025-06-18 23:47:29.321,0.0,0.0,0.0,29.92,36.0,26.0,655.35,442.0,80.53
1750308449.335871,2025-06-18 23:47:29.335,0.0,0.0,0.0,30.11,,,,,
1750308449.348279,2025-06-18 23:47:29.348,0.0,0.0,0.0,33.64,,,,,
1750308449.360747,2025-06-18 23:47:29.360,0.0,0.0,0.0,30.740000000000002,,,,,
1750308449.374465,2025-06-18 23:47:29.374,0.0,0.0,0.0,32.1,,,,,
1750308449.388275,2025-06-18 23:47:29.388,0.0,0.0,0.0,32.230000000000004,,,,,
1750308449.40209,2025-06-18 23:47:29.402,0.0,0.0,0.0,31.810000000000002,,,,,
1750308449.4159338,2025-06-18 23:47:29.415,0.0,0.0,0.0,33.13,,,,,
1750308449.4297931,2025-06-18 23:47:29.429,0.0,0.0,0.0,31.93,37.0,24.0,655.35,440.0,79.52
1750308449.443712,2025-06-18 23:47:29.443,0.0,0.0,0.0,32.58,,,,,
1750308449.457803,2025-06-18 23:47:29.457,0.0,0.0,0.0,33.01,,,,,
1750308449.471711,2025-06-18 23:47:29.471,0.0,0.0,0.0,31.75,,,,,
1750308449.485604,2025-06-18 23:47:29.485,0.0,0.0,0.0,32.04,,,,,
1750308449.499455,2025-06-18 23:47:29.499,0.0,0.0,0.0,31.650000000000002,,,,,
1750308449.5133271,2025-06-18 23:47:29.513,0.0,0.0,0.0,30.11,,,,,
1750308449.526005,2025-06-18 23:47:29.526,0.0,0.0,0.0,31.46,,,,,
1750308449.54086,2025-06-18 23:47:29.540,0.0,0.0,0.0,32.42,35.0,25.0,655.35,439.0,81.26
