timestamp,datetime,dynamics.fl_pushrod_stress,dynamics.fl_spring_displace,dynamics.fl_strain_gauge_v,dynamics.flw_speed
1750308033.318309,2025-06-18 23:40:33.318,0.0,0.0,0.0,31.13
1750308033.330483,2025-06-18 23:40:33.330,0.0,0.0,0.0,32.2
1750308033.341871,2025-06-18 23:40:33.341,0.0,0.0,0.0,31.48
1750308033.3555992,2025-06-18 23:40:33.355,0.0,0.0,0.0,33.37
1750308033.369372,2025-06-18 23:40:33.369,0.0,0.0,0.0,31.66
1750308033.381932,2025-06-18 23:40:33.381,0.0,0.0,0.0,30.84
1750308033.39378,2025-06-18 23:40:33.393,0.0,0.0,0.0,29.990000000000002
1750308033.4070919,2025-06-18 23:40:33.407,0.0,0.0,0.0,31.68
1750308033.420871,2025-06-18 23:40:33.420,0.0,0.0,0.0,29.650000000000002
1750308033.434627,2025-06-18 23:40:33.434,0.0,0.0,0.0,29.77
1750308033.448438,2025-06-18 23:40:33.448,0.0,0.0,0.0,29.79
1750308033.4604852,2025-06-18 23:40:33.460,0.0,0.0,0.0,31.88
1750308033.474219,2025-06-18 23:40:33.474,0.0,0.0,0.0,33.42
1750308033.488003,2025-06-18 23:40:33.488,0.0,0.0,0.0,32.22
1750308033.501767,2025-06-18 23:40:33.501,0.0,0.0,0.0,31.61
1750308033.514082,2025-06-18 23:40:33.514,0.0,0.0,0.0,32.34
1750308033.527842,2025-06-18 23:40:33.527,0.0,0.0,0.0,29.93
1750308033.541573,2025-06-18 23:40:33.541,0.0,0.0,0.0,33.35
1750308033.555338,2025-06-18 23:40:33.555,0.0,0.0,0.0,32.85
1750308033.569037,2025-06-18 23:40:33.569,0.0,0.0,0.0,31.7
1750308033.5810401,2025-06-18 23:40:33.581,0.0,0.0,0.0,32.84
1750308033.5937579,2025-06-18 23:40:33.593,0.0,0.0,0.0,32.43
1750308033.6060832,2025-06-18 23:40:33.606,0.0,0.0,0.0,32.7
1750308033.6188102,2025-06-18 23:40:33.618,0.0,0.0,0.0,32.31
1750308033.630993,2025-06-18 23:40:33.630,0.0,0.0,0.0,30.5
1750308033.645559,2025-06-18 23:40:33.645,0.0,0.0,0.0,30.86
1750308033.659373,2025-06-18 23:40:33.659,0.0,0.0,0.0,31.84
1750308033.673172,2025-06-18 23:40:33.673,0.0,0.0,0.0,30.8
1750308033.686259,2025-06-18 23:40:33.686,0.0,0.0,0.0,32.12
1750308033.70007,2025-06-18 23:40:33.700,0.0,0.0,0.0,31.93
1750308033.713838,2025-06-18 23:40:33.713,0.0,0.0,0.0,32.56
1750308033.72623,2025-06-18 23:40:33.726,0.0,0.0,0.0,31.68
1750308033.7400372,2025-06-18 23:40:33.740,0.0,0.0,0.0,32.81
1750308033.753859,2025-06-18 23:40:33.753,0.0,0.0,0.0,33.21
1750308033.767642,2025-06-18 23:40:33.767,0.0,0.0,0.0,34.07
1750308033.7814138,2025-06-18 23:40:33.781,0.0,0.0,0.0,32.78
1750308033.793816,2025-06-18 23:40:33.793,0.0,0.0,0.0,30.39
1750308033.807588,2025-06-18 23:40:33.807,0.0,0.0,0.0,31.560000000000002
1750308033.821368,2025-06-18 23:40:33.821,0.0,0.0,0.0,32.980000000000004
1750308033.835119,2025-06-18 23:40:33.835,0.0,0.0,0.0,32.79
1750308033.847848,2025-06-18 23:40:33.847,0.0,0.0,0.0,34.37
1750308033.861602,2025-06-18 23:40:33.861,0.0,0.0,0.0,31.38
1750308033.875353,2025-06-18 23:40:33.875,0.0,0.0,0.0,32.410000000000004
1750308033.8891351,2025-06-18 23:40:33.889,0.0,0.0,0.0,32.43
1750308033.9028962,2025-06-18 23:40:33.902,0.0,0.0,0.0,34.33
1750308033.916696,2025-06-18 23:40:33.916,0.0,0.0,0.0,30.75
1750308033.9307861,2025-06-18 23:40:33.930,0.0,0.0,0.0,32.52
1750308033.943352,2025-06-18 23:40:33.943,0.0,0.0,0.0,31.93
1750308033.954981,2025-06-18 23:40:33.954,0.0,0.0,0.0,31.62
1750308033.968778,2025-06-18 23:40:33.968,0.0,0.0,0.0,31.82
1750308033.982548,2025-06-18 23:40:33.982,0.0,0.0,0.0,33.09
1750308033.9949481,2025-06-18 23:40:33.994,0.0,0.0,0.0,33.96
1750308034.007042,2025-06-18 23:40:34.007,0.0,0.0,0.0,31.470000000000002
1750308034.020811,2025-06-18 23:40:34.020,0.0,0.0,0.0,33.64
1750308034.034579,2025-06-18 23:40:34.034,0.0,0.0,0.0,33.81
1750308034.0497222,2025-06-18 23:40:34.049,0.0,0.0,0.0,32.93
1750308034.063492,2025-06-18 23:40:34.063,0.0,0.0,0.0,33.47
1750308034.077058,2025-06-18 23:40:34.077,0.0,0.0,0.0,31.19
1750308034.090837,2025-06-18 23:40:34.090,0.0,0.0,0.0,32.76
